Time,Latitude,Longitude,counts
1746053077.28,0,0,48.0
1746053079.31,0,0,43.0
1746053081.32,0,0,55.0
1746053083.31,0,0,42.0
1746053085.3,0,0,42.0
1746053087.31,0,0,34.5
1746053089.31,0,0,37.5
1746053091.31,0,0,39.0
1746053093.31,0,0,37.0
1746053095.29,0,0,37.0
1746053097.31,0,0,35.5
1746053099.31,0,0,35.0
1746053101.32,0,0,49.0
1746053103.31,0,0,54.0
1746053105.3,0,0,54.0
1746053107.31,0,0,61.0
1746053109.31,0,0,47.5
1746053111.33,0,0,44.5
1746053113.29,0,0,44.5
1746053115.31,0,0,48.5
1746053117.31,0,0,46.0
1746053119.31,0,0,46.5
1746053121.31,0,0,49.0
1746053123.29,0,0,49.0
1746053125.31,0,0,50.5
1746053127.32,0,0,50.0
1746053129.31,0,0,59.0
1746053131.31,0,0,56.5
1746053133.29,0,0,56.5
1746053135.32,0,0,49.5
1746053137.31,0,0,52.0
1746053139.31,0,0,54.5
1746053141.29,0,0,54.5
1746053143.31,0,0,44.5
1746053145.31,0,0,53.0
1746053147.31,0,0,52.5
1746053149.31,0,0,48.0
1746053151.29,0,0,48.0
1746053153.32,0,0,42.5
1746053155.31,0,0,46.0
1746053157.32,0,0,51.5
1746053159.31,0,0,47.5
1746053161.29,0,0,47.5
1746053163.31,0,0,53.5
1746053165.31,0,0,51.0
1746053167.31,0,0,59.5
1746053169.29,0,0,59.5
1746053171.31,0,0,46.5
1746053173.31,0,0,49.5
1746053175.31,0,0,42.5
1746053177.32,0,0,55.0
1746053179.29,0,0,55.0
1746053181.31,0,0,50.5
1746053183.31,0,0,55.5
1746053185.31,0,0,59.5
1746053187.31,0,0,47.0
1746053189.29,0,0,47.0
1746053191.32,0,0,53.5
1746053193.32,0,0,63.5
1746053195.33,0,0,61.5
1746053197.29,0,0,61.5
1746053199.31,0,0,43.0
1746053201.31,0,0,54.0
1746053203.31,0,0,53.0
1746053205.29,0,0,53.0
1746053207.31,0,0,61.5
1746053209.31,0,0,46.5
1746053211.31,0,0,61.5
1746053213.33,0,0,69.0
1746053215.29,0,0,69.0
1746053217.31,0,0,63.0
1746053219.31,0,0,58.0
