Time,Latitude,Longitude,counts
1746066778.6,37.87033375376477,-122.24773097391044,48.5
1746066780.6,37.87032352677638,-122.24773267583765,51.0
1746066782.6,37.87032352677638,-122.24773267583765,43.5
1746066784.58,37.87032405623224,-122.2477339602178,43.5
1746066786.59,37.87032396770299,-122.24774521199126,51.0
1746066788.59,37.8703250250243,-122.24774835255772,52.5
1746066790.59,37.87032521130486,-122.24774897224754,58.5
1746066792.6,37.87034624874719,-122.2477537190456,43.0
1746066794.6,37.87034790065753,-122.24775761550872,43.0
1746066796.59,37.87035085687513,-122.24776408299734,50.0
1746066798.6,37.870368219330985,-122.24783268558376,59.5
1746066800.59,37.87037137632503,-122.24783927884262,55.5
1746066802.57,37.87037591251227,-122.24785058127289,55.5
1746066804.6,37.87036198375761,-122.24778376448536,47.5
1746066806.59,37.8703646334076,-122.24778963190504,44.0
1746066808.59,37.8703694109917,-122.24780028695781,52.0
1746066810.59,37.87041119224851,-122.24791454341634,47.5
1746066812.58,37.87041420434881,-122.24792240468065,47.5
1746066814.6,37.870420636362276,-122.24793737792687,52.5
1746066816.6,37.87037326456846,-122.24797497510554,43.0
1746066818.59,37.87037701786577,-122.24798501953657,50.0
1746066820.58,37.87038237835638,-122.24800129630476,50.0
1746066822.6,37.87039722717689,-122.24805814972518,45.5
1746066824.6,37.87039806616104,-122.24806651335317,50.5
1746066826.6,37.8704036661277,-122.24809223031441,43.5
1746066828.6,37.87035180466825,-122.24825449684027,38.5
1746066830.57,37.87035589379668,-122.24826695222987,38.5
1746066832.59,37.87036055627342,-122.24828753324665,41.5
1746066834.59,37.87034024437472,-122.24836750961904,43.5
1746066836.61,37.870341332191664,-122.24839364832741,51.5
1746066838.57,37.87034136257921,-122.2483938155744,51.5
1746066840.62,37.87030430634226,-122.24853883472764,45.5
1746066842.59,37.870303414221176,-122.2485433082753,44.0
1746066844.59,37.870298708162366,-122.24855695140364,39.5
1746066846.6,37.870263910133595,-122.24854326298848,43.0
1746066848.57,37.870261056606786,-122.2485472743088,43.0
1746066850.59,37.87025801574195,-122.24855366068918,49.0
1746066852.59,37.870262214392014,-122.24872246395992,43.0
1746066854.59,37.87025919593752,-122.24872859728657,47.0
1746066856.58,37.870256463841365,-122.24873997552325,47.0
1746066858.59,37.870192925145844,-122.24873860703909,51.0
1746066860.6,37.87019088487347,-122.24874435956883,50.0
1746066862.59,37.870187245498016,-122.24875381101734,40.0
1746066864.59,37.870162208105945,-122.24893126319658,37.0
1746066866.57,37.870157343170305,-122.2489380440439,37.0
1746066868.6,37.87015192379661,-122.24895296124554,47.0
1746066870.6,37.869909040082014,-122.2488482838521,53.0
1746066872.6,37.86990145222801,-122.2488554066245,42.5
1746066874.6,37.86989402458864,-122.2488624902517,50.0
1746066876.58,37.86972024139425,-122.2488862639067,50.0
1746066878.6,37.86971729292495,-122.24889021765904,47.0
