Time,Latitude,Longitude,counts
1746049817.84,0,0,22843.5
1746049819.83,0,0,26.0
1746049821.83,0,0,25.5
1746049823.83,37.8703882604017,-122.31588443138821,25.5
1746049825.85,37.87038866902803,-122.3158821365465,23.5
1746049827.84,37.87038866902803,-122.3158821365465,21.0
1746049829.85,37.87038953641003,-122.31587726537147,37.0
1746049831.85,37.87038926530189,-122.31587878787754,30.0
1746049833.82,37.870389239266736,-122.31587893410772,30.0
1746049835.84,37.870388051310115,-122.31588560561248,41.0
1746049837.84,37.87038840678017,-122.31588360931494,34.0
1746049839.84,37.87038911072871,-122.31587965596616,29.5
1746049841.86,37.87039045283696,-122.31587211877292,35.0
1746049843.84,37.87039089338546,-122.31586964466486,35.0
1746049845.85,37.87039111940285,-122.3158683753651,34.0
1746049847.86,37.870391286045454,-122.31586743951429,38.5
1746049849.85,37.87039136887355,-122.31586697435392,38.5
1746049851.82,37.870391886891234,-122.31586406518375,38.5
1746049853.85,37.870392793458635,-122.31585897394307,48.0
1746049855.85,37.87039193813973,-122.31586377737354,38.0
1746049857.86,37.870387635449895,-122.31588794105811,34.0
1746049859.84,37.87038351823307,-122.31591106312712,33.0
1746049861.82,37.87037901831442,-122.31593633446045,33.0
1746049863.85,37.87037423677876,-122.31596318732288,41.0
1746049865.85,37.87036944248666,-122.31599011180616,32.0
1746049867.85,37.87036472568014,-122.3160166011599,37.5
1746049869.85,37.870360294527586,-122.31604148629037,41.0
1746049871.85,37.870355701384646,-122.3160672811544,41.0
1746049873.83,37.87035114176322,-122.31609288775844,40.0
1746049875.85,37.87034635520475,-122.31611976883174,37.0
1746049877.86,37.870496261449205,-122.31618814247935,26.5
1746049879.82,37.870498538597175,-122.31621387111058,26.5
1746049881.85,37.87049967977646,-122.31624117180328,36.0
1746049883.85,37.870497984134296,-122.31626956949638,39.5
1746049885.85,37.87049651167938,-122.31629524816299,38.0
1746049887.86,37.870499274407784,-122.31632752864058,39.5
1746049889.82,37.870506810855275,-122.31635188185581,39.5
1746049891.85,37.87052162236653,-122.31636852325647,33.0
1746049893.85,37.87054118987826,-122.3163769875176,42.5
1746049895.85,37.87056193549595,-122.31638022328345,38.5
1746049897.82,37.87056193549595,-122.31638022328345,38.5
1746049899.85,37.87061123485952,-122.3163812545352,40.0
1746049901.86,37.87063133433625,-122.31637969647693,36.5
1746049903.85,37.870651925796594,-122.31637458549845,33.5
1746049905.85,37.87067308263715,-122.31637266593978,33.5
1746049907.81,37.87069657550367,-122.31637167330305,33.5
1746049909.84,37.8707203856134,-122.31636704419158,27.5
1746049911.86,37.870739681371,-122.31636518974271,39.0
1746049913.84,37.870765634553614,-122.31636415026225,33.0
1746049915.85,37.87078834047478,-122.31636380543905,42.0
1746049917.83,37.870810079583244,-122.31636351370955,42.0
1746049919.85,37.87083449935178,-122.3163640126694,28.5
1746049921.85,37.87085351037987,-122.31636377501415,34.5
1746049923.85,37.87087827456722,-122.31636349968407,29.0
1746049925.86,37.8708995810073,-122.31636566009425,35.5
1746049927.81,37.870928011206914,-122.31636859454369,35.5
1746049929.85,37.87094689866704,-122.31637074348122,32.0
1746049931.85,37.87097123080825,-122.31637629340952,35.0
1746049933.85,37.87098986091394,-122.31638510491393,36.5
1746049935.82,37.87101235969918,-122.31639079687953,36.5
1746049937.84,37.87103205608017,-122.31639942767734,33.0
1746049939.84,37.87105021918231,-122.316415597947,36.5
1746049941.85,37.87106925052414,-122.31643271265996,35.5
1746049943.85,37.871082266730795,-122.31645268920482,37.0
1746049945.82,37.87109909548505,-122.31647540050463,37.0
1746049947.85,37.87111364780378,-122.31650323399022,31.0
1746049949.86,37.87112805963774,-122.31652810977525,34.5
1746049951.84,37.87113864807778,-122.31655579756013,41.5
1746049953.81,37.87114624093402,-122.31658304827785,41.5
1746049955.85,37.87115035550447,-122.31661115274981,35.5
1746049957.85,37.87115630196823,-122.3166417566915,38.0
1746049959.87,37.871160598341326,-122.31666900956472,40.5
1746049961.85,37.871165649661705,-122.31669550103213,33.0
1746049963.82,37.87116827278941,-122.31672122433606,33.0
1746049965.85,37.87118169605307,-122.31672942323195,32.0
1746049967.85,37.871200945779194,-122.31674575988428,39.5
1746049969.87,37.87121521619886,-122.31675116777531,35.0
1746049971.85,37.871239920101985,-122.31675867901828,41.5
1746049973.84,37.87125990990087,-122.31676678021412,41.5
1746049975.84,37.87127284627467,-122.31676820264514,39.5
1746049977.84,37.87128818587399,-122.31677152082194,35.5
1746049979.84,37.871309104681195,-122.31677492679434,40.5
1746049981.82,37.871327987642275,-122.31678291049518,40.5
1746049983.85,37.871342709177206,-122.31679276410112,39.0
1746049985.84,37.87136007961218,-122.31680998298455,29.5
1746049987.85,37.87137558159002,-122.3168176492857,37.5
1746049989.85,37.871392857200895,-122.316823749512,36.0
1746049991.82,37.87141701150794,-122.31682976558494,36.0
1746049993.86,37.87143268956315,-122.31682957319738,33.5
1746049995.85,37.8714570605929,-122.31683915987291,34.5
1746049997.85,37.871475289408544,-122.3168422098926,33.0
1746049999.86,37.87149719776871,-122.31684985114697,45.5
1746050001.82,37.871518210188526,-122.31685635440711,45.5
1746050003.85,37.87153772414248,-122.31686155914643,31.5
1746050005.85,37.87155793711176,-122.31687213891198,29.5
1746050007.85,37.87157956303337,-122.31687770626239,41.5
1746050009.82,37.871597084375274,-122.31688920267865,41.5
1746050011.85,37.871616070892046,-122.31689558508172,44.0
1746050013.85,37.87163892529332,-122.316901289188,35.5
1746050015.85,37.871658905336,-122.31690476472394,36.0
1746050017.84,37.87167591010702,-122.31690593782355,34.5
1746050019.84,37.87169907824445,-122.31690715210215,34.5
1746050021.85,37.87171829225545,-122.3169084585371,33.0
1746050023.86,37.871742477417065,-122.31690743673937,34.0
1746050025.85,37.87176392776549,-122.31691070072499,40.0
1746050027.85,37.87178605892631,-122.31691588535097,42.0
1746050029.82,37.87180776547944,-122.316920107461,42.0
1746050031.85,37.87182227965989,-122.3169221432519,36.5
1746050033.86,37.87184521017775,-122.31693070935985,44.0
1746050035.85,37.87186696945567,-122.31694343845788,41.0
1746050037.82,37.871887296542845,-122.31695999966954,41.0
1746050039.85,37.87190468446823,-122.31697703426414,36.5
1746050041.85,37.871927099848186,-122.31699243991426,45.0
1746050043.86,37.87194530021846,-122.31700900968495,33.5
1746050045.84,37.87196133067957,-122.31703140325675,37.0
1746050047.82,37.871978082189344,-122.31704852182305,37.0
1746050049.84,37.871978082189344,-122.31704852182305,29.5
1746050051.83,37.871978082189344,-122.31704852182305,45.0
1746050053.85,37.871978082189344,-122.31704852182305,48.0
1746050055.82,37.871978082189344,-122.31704852182305,48.0
1746050057.84,37.871978082189344,-122.31704852182305,46.0
1746050059.84,37.871978082189344,-122.31704852182305,47.0
1746050061.84,37.871978082189344,-122.31704852182305,47.0
1746050063.85,37.871978082189344,-122.31704852182305,42.5
1746050065.81,37.871978082189344,-122.31704852182305,42.5
1746050067.83,37.871978082189344,-122.31704852182305,40.5
1746050069.83,37.871978082189344,-122.31704852182305,44.0
1746050071.83,37.871978082189344,-122.31704852182305,38.5
1746050073.87,37.87222049932841,-122.31726250625269,36.5
1746050075.82,37.872238388682725,-122.31727781204219,36.5
1746050077.85,37.87225862390953,-122.31729325259775,42.0
1746050079.85,37.872278831453656,-122.31730910975705,32.0
1746050081.85,37.87229885298968,-122.31732727758974,50.0
1746050083.82,37.87232129176161,-122.31734239617137,50.0
1746050085.84,37.872337257879664,-122.31735997890871,42.0
1746050087.84,37.872355084256455,-122.31738136083044,42.5
1746050089.84,37.872373909663644,-122.31740068412563,34.5
1746050091.84,37.87239132019574,-122.31741831718477,31.0
1746050093.82,37.87241220806448,-122.31743420610101,31.0
1746050095.85,37.87243121632856,-122.31745159025225,35.5
1746050097.85,37.87244847339957,-122.31746668848147,40.0
1746050099.85,37.87247130858138,-122.31748668699412,33.5
1746050101.82,37.87249134982756,-122.31750169416664,33.5
1746050103.86,37.87250876355369,-122.31751251000091,30.0
1746050105.85,37.87252688828319,-122.31752697508458,43.5
1746050107.86,37.872548868834215,-122.31754430568378,34.5
1746050109.85,37.87256773888217,-122.31755892581734,39.5
1746050111.82,37.872588716712826,-122.31757337542084,39.5
