Time,Latitude,Longitude,counts
1746065810.82,37.872634118322466,-122.23994765001947,43.0
1746065812.82,37.872634118322466,-122.23994765001947,42.0
1746065814.82,37.872634118322466,-122.23994765001947,48.5
1746065816.82,37.872634118322466,-122.23994765001947,43.0
1746065818.81,37.872634118322466,-122.23994765001947,43.0
1746065820.82,37.872634118322466,-122.23994765001947,50.0
1746065822.82,37.872634118322466,-122.23994765001947,45.5
1746065824.82,37.872634118322466,-122.23994765001947,48.0
1746065826.8,37.872643577398364,-122.2385586809635,48.0
1746065828.82,37.872643577398364,-122.2385586809635,53.0
1746065830.82,37.872643577398364,-122.2385586809635,43.0
1746065832.82,37.872643577398364,-122.2385586809635,38.5
1746065834.82,37.872643577398364,-122.2385586809635,49.0
1746065836.8,37.872643577398364,-122.2385586809635,49.0
1746065838.82,37.872643577398364,-122.2385586809635,56.5
1746065840.83,37.872643577398364,-122.2385586809635,45.0
1746065842.82,37.872643577398364,-122.2385586809635,59.5
1746065844.82,37.872643577398364,-122.2385586809635,50.5
1746065846.8,37.872643577398364,-122.2385586809635,50.5
1746065848.82,37.872643577398364,-122.2385586809635,63.5
1746065850.84,37.872643577398364,-122.2385586809635,52.0
1746065852.85,37.872643577398364,-122.2385586809635,53.5
1746065854.8,37.872643577398364,-122.2385586809635,53.5
1746065856.82,37.872736456436876,-122.23828429650003,64.0
1746065858.82,37.872736456436876,-122.23828429650003,39.5
1746065860.82,37.872393301500175,-122.23818909312062,49.0
1746065862.8,37.87241816832447,-122.23811952844609,49.0
1746065864.82,37.87247439922321,-122.23809904431523,44.5
1746065866.82,37.87249114077161,-122.23807254388358,41.5
1746065868.82,37.87249114077161,-122.23807254388358,43.0
1746065870.82,37.87249114077161,-122.23807254388358,51.0
1746065872.81,37.87249114077161,-122.23807254388358,51.0
1746065874.82,37.87249114077161,-122.23807254388358,48.5
1746065876.83,37.87249114077161,-122.23807254388358,47.0
1746065878.82,37.87249114077161,-122.23807254388358,49.0
1746065880.82,37.87249114077161,-122.23807254388358,57.5
1746065882.8,37.87249114077161,-122.23807254388358,57.5
1746065884.82,37.87249114077161,-122.23807254388358,48.5
1746065886.83,37.87249114077161,-122.23807254388358,54.5
1746065888.82,37.87249114077161,-122.23807254388358,56.5
1746065890.8,37.87249114077161,-122.23807254388358,56.5
1746065892.82,37.87249114077161,-122.23807254388358,53.0
1746065894.82,37.87249114077161,-122.23807254388358,62.0
1746065896.84,37.87249114077161,-122.23807254388358,54.0
1746065898.82,37.87249114077161,-122.23807254388358,69.0
1746065900.8,37.87249114077161,-122.23807254388358,69.0
1746065902.82,37.87249114077161,-122.23807254388358,66.0
1746065904.82,37.87249114077161,-122.23807254388358,69.5
1746065906.82,37.87249114077161,-122.23807254388358,56.5
1746065908.82,37.87249114077161,-122.23807254388358,66.0
1746065910.8,37.87249114077161,-122.23807254388358,66.0
1746065912.82,37.87249114077161,-122.23807254388358,53.0
