Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1744844496.22,37.87623175845581,-122.25929606526064,36.0,0.0,0.6,0.6,17.669648437499998,52.57251936932365,1002.6438002233899,88.68045864830408,101713.4
1744844501.25,37.87622187375696,-122.2592224298636,36.8,0.0,0.0,0.0,17.6517578125,52.54939128011131,1002.564012996361,89.35044643578678,101935.6
1744844506.2,37.8761688263931,-122.25912114787168,36.8,0.0,0.0,0.0,17.6459375,52.51425448697476,1002.5022606006899,89.86902250653634,101490.8
1744844511.25,37.87615921603101,-122.25907554207335,27.4,0.0,0.0,0.0,17.651132812500002,52.4952409812848,1002.414823310648,90.60333852819836,101528.4
1744844516.29,37.87615646703086,-122.25904223945855,32.6,0.0,0.0,0.0,17.641093750000003,52.44976261183285,1002.3314950893007,91.30319097950148,102572.6
1744844521.25,37.87615646703086,-122.25904223945855,27.6,0.0,0.0,0.0,17.5823828125,52.43140113655443,1002.2518865305423,91.97184896964741,103282.0
1744844526.26,37.87631914991813,-122.25899998907026,27.8,0.0,0.0,0.0,17.545546875,52.531244979640384,1002.1537706981653,92.79601328122149,103078.4
1744844531.25,37.87633905212428,-122.2589668595629,29.2,0.0,0.4,0.4,17.52390625,52.70681172387682,1002.0641185923298,93.54914015771837,102685.8
1744844536.23,37.87638207568218,-122.25867173894014,28.2,0.0,0.4,0.4,17.531484374999998,52.880040078978894,1001.9747905245891,94.29960006537115,101923.8
1744844541.25,37.876291814492916,-122.25856751062994,26.0,0.0,1.0,1.0,17.559492187500002,52.95989333726885,1001.8864254470494,95.04202107003933,101663.4
1744844546.22,37.876223981487,-122.258685166041,30.2,0.0,1.0,1.0,17.611835937499997,52.947977531234756,1001.8026606203721,95.74584374448972,101688.2
1744844551.25,37.87622009859176,-122.25868315933896,24.6,0.0,1.0,1.0,17.662109375000004,52.932109843566806,1001.7503113921153,96.18572185967108,101429.2
1744844556.23,37.87615270947525,-122.25849695589035,29.4,0.0,1.0,1.0,17.6765234375,52.95978511731879,1001.7465531217485,96.21730250382468,102073.6
1744844561.24,37.87608331413349,-122.25853170497551,29.4,0.0,1.0,1.8,17.708515624999997,52.912065023075726,1001.744884920231,96.23132049370142,101040.4
1744844566.24,37.876045890690364,-122.25862915621185,23.2,0.0,1.0,1.8,17.7747265625,52.87233895132613,1001.7373193964795,96.29489389358639,99764.0
1744844571.26,37.87602941447976,-122.25862664876155,20.0,0.0,1.0,2.6,17.878085937499996,52.902558045404454,1001.7600288594097,96.10406669002668,98369.0
1744844576.19,37.876040885349965,-122.25860674717755,22.4,0.0,1.0,2.6,17.878085937499996,52.902558045404454,1001.7600288594097,96.10406669002668,98369.0
1744844581.26,37.8760401711904,-122.25860655959177,26.6,0.0,0.4,1.0,17.996914062499997,53.053088348337766,1001.8441759644547,95.397013609031,95905.8
1744844586.22,37.87601860027954,-122.25871190344986,30.0,0.0,0.4,1.0,18.120468749999997,53.358722081447546,1001.9797416001409,94.2580045106562,95046.0
1744844591.25,37.875997399840465,-122.25877861454116,27.6,0.0,0.4,1.0,18.248164062500003,53.734829326256545,1002.1217155869545,93.06529183487774,93632.2
1744844596.22,37.8759980873596,-122.2588449871015,33.2,0.0,0.4,1.0,18.375742187500002,54.12288697405371,1002.250152280753,91.98641630530125,92594.8
1744844601.26,37.87597470686097,-122.25897446228137,36.4,0.2,1.0,2.6,18.513984375,54.27225423936941,1002.392228596452,90.79310561796721,91583.4
1744844606.22,37.87597664372942,-122.25896224305656,33.2,0.2,1.0,2.6,18.658515625,54.61915048512664,1002.5223297242549,89.70048908964392,89724.4
1744844611.25,37.87597608943252,-122.25896533685082,33.2,1.0,1.0,3.0,18.79859375,55.31076824521587,1002.680008457624,88.3764305131884,87290.0
1744844616.25,37.8759738283736,-122.25898141816657,32.2,1.0,1.0,3.0,18.93546875,55.871676853518196,1002.7934391302831,87.42402728715248,86158.2
1744844621.26,37.87597227637973,-122.25898549431693,34.4,1.0,3.0,3.0,19.0669140625,56.015651844976944,1002.8658064606127,86.81645639516243,86315.6
1744844626.24,37.87597214327104,-122.25898616091025,39.2,1.0,3.0,3.0,19.211562500000003,55.59885442129409,1002.8761835050551,86.72933503523186,86565.2
